zip,fips,county,STATE
05778,50021,Rutland County,VT
05767,50021,Rutland County,VT
05735,50021,Rutland County,VT
05701,50021,Rutland County,VT
05763,50021,Rutland County,VT
05742,50021,Rutland County,VT
05774,50021,Rutland County,VT
05758,50021,Rutland County,VT
05731,50021,Rutland County,VT
05765,50021,Rutland County,VT
05251,50021,Rutland County,VT
05739,50021,Rutland County,VT
05760,50021,Rutland County,VT
05761,50021,Rutland County,VT
05738,50021,Rutland County,VT
05737,50021,Rutland County,VT
05757,50021,Rutland County,VT
05745,50021,Rutland County,VT
05732,50021,Rutland County,VT
05736,50021,Rutland County,VT
05759,50021,Rutland County,VT
05764,50021,Rutland County,VT
05702,50021,Rutland County,VT
05741,50021,Rutland County,VT
05772,50021,Rutland County,VT
05777,50021,Rutland County,VT
05762,50021,Rutland County,VT
05751,50021,Rutland County,VT
05253,50021,Rutland County,VT
05733,50021,Rutland County,VT
05773,50021,Rutland County,VT
05744,50021,Rutland County,VT
05730,50021,Rutland County,VT
05743,50021,Rutland County,VT
05750,50021,Rutland County,VT
05674,50023,Washington County,VT
05682,50023,Washington County,VT
05658,50023,Washington County,VT
05602,50023,Washington County,VT
05669,50023,Washington County,VT
05666,50023,Washington County,VT
05060,50023,Washington County,VT
05640,50023,Washington County,VT
05681,50023,Washington County,VT
05873,50023,Washington County,VT
05609,50023,Washington County,VT
05654,50023,Washington County,VT
05633,50023,Washington County,VT
05641,50023,Washington County,VT
05671,50023,Washington County,VT
05601,50023,Washington County,VT
05664,50023,Washington County,VT
05676,50023,Washington County,VT
05667,50023,Washington County,VT
05603,50023,Washington County,VT
05620,50023,Washington County,VT
05670,50023,Washington County,VT
05604,50023,Washington County,VT
05660,50023,Washington County,VT
05650,50023,Washington County,VT
05647,50023,Washington County,VT
05649,50023,Washington County,VT
05843,50023,Washington County,VT
05663,50023,Washington County,VT
05673,50023,Washington County,VT
05677,50023,Washington County,VT
05648,50023,Washington County,VT
05651,50023,Washington County,VT
05680,50023,Washington County,VT
05678,50023,Washington County,VT
05362,50025,Windham County,VT
05341,50025,Windham County,VT
